bank,date,web_traffic,number_of_employee,assets_under_management,number_of_branches,age,has_stores,founded_before_2000,cross_visitation,rank,category_best_salary_accounts_helmycash,category_best_savings_accounts_helpmycash,incentive,apr,mentions
n26,2023-03-01,8809.934385511588,1500,8000000000,0,11,0,0,0.041806019842624664,9.0,0,0,300€,2%,1
n26,2023-03-01,8809.934385511588,1500,8000000000,0,11,0,0,0.041806019842624664,7.0,1,0,300€,2%,1
n26,2023-03-01,8809.934385511588,1500,8000000000,0,11,0,0,0.041806019842624664,7.0,0,1,300€,2%,1
n26,2023-04-01,6423.697228227968,1500,8000000000,0,11,0,0,0.04216867312788963,7.0,0,0,300€,2%,2
n26,2023-04-01,6423.697228227968,1500,8000000000,0,11,0,0,0.04216867312788963,7.0,1,0,300€,2%,2
n26,2023-04-01,6423.697228227968,1500,8000000000,0,11,0,0,0.04216867312788963,7.0,0,1,300€,2%,2
n26,2023-04-01,10265.227329036006,1500,8000000000,0,11,0,0,0.04216867312788963,7.0,0,0,300€,2%,2
n26,2023-04-01,10265.227329036006,1500,8000000000,0,11,0,0,0.04216867312788963,7.0,1,0,300€,2%,2
n26,2023-04-01,10265.227329036006,1500,8000000000,0,11,0,0,0.04216867312788963,7.0,0,1,300€,2%,2
n26,2023-05-01,5934.9573003898795,1500,8000000000,0,11,0,0,0.04915730282664299,7.0,0,0,300€,2%,4
n26,2023-05-01,5934.9573003898795,1500,8000000000,0,11,0,0,0.04915730282664299,7.0,1,0,300€,2%,4
n26,2023-05-01,5934.9573003898795,1500,8000000000,0,11,0,0,0.04915730282664299,7.0,0,1,300€,2%,4
n26,2023-05-01,6051.689088089369,1500,8000000000,0,11,0,0,0.04915730282664299,7.0,0,0,300€,2%,4
n26,2023-05-01,6051.689088089369,1500,8000000000,0,11,0,0,0.04915730282664299,7.0,1,0,300€,2%,4
n26,2023-05-01,6051.689088089369,1500,8000000000,0,11,0,0,0.04915730282664299,7.0,0,1,300€,2%,4
n26,2023-06-01,7570.643411413261,1500,8000000000,0,11,0,0,0.05862646549940109,7.0,0,0,300€,2%,2
n26,2023-06-01,7570.643411413261,1500,8000000000,0,11,0,0,0.05862646549940109,7.0,1,0,300€,2%,2
n26,2023-06-01,7570.643411413261,1500,8000000000,0,11,0,0,0.05862646549940109,7.0,0,1,300€,2%,2
n26,2023-06-01,8215.615083321494,1500,8000000000,0,11,0,0,0.05862646549940109,7.0,0,0,300€,2%,2
n26,2023-06-01,8215.615083321494,1500,8000000000,0,11,0,0,0.05862646549940109,7.0,1,0,300€,2%,2
n26,2023-06-01,8215.615083321494,1500,8000000000,0,11,0,0,0.05862646549940109,7.0,0,1,300€,2%,2
n26,2023-07-01,14679.82996548805,1500,8000000000,0,11,0,0,0.08361203968524933,6.0,0,0,300€,2%,1
n26,2023-07-01,14679.82996548805,1500,8000000000,0,11,0,0,0.08361203968524933,6.0,1,0,300€,2%,1
n26,2023-07-01,14679.82996548805,1500,8000000000,0,11,0,0,0.08361203968524933,10.0,0,1,300€,2%,1
n26,2023-07-01,11091.106152260778,1500,8000000000,0,11,0,0,0.08361203968524933,6.0,0,0,300€,2%,1
n26,2023-07-01,11091.106152260778,1500,8000000000,0,11,0,0,0.08361203968524933,6.0,1,0,300€,2%,1
n26,2023-07-01,11091.106152260778,1500,8000000000,0,11,0,0,0.08361203968524933,10.0,0,1,300€,2%,1
n26,2023-08-01,11489.221891729097,1500,8000000000,0,11,0,0,0.06932409107685089,9.0,0,0,300€,2%,1
n26,2023-08-01,11489.221891729097,1500,8000000000,0,11,0,0,0.06932409107685089,3.0,1,0,300€,2%,1
n26,2023-08-01,11489.221891729097,1500,8000000000,0,11,0,0,0.06932409107685089,10.0,0,1,300€,2%,1
n26,2023-08-01,9104.383956197371,1500,8000000000,0,11,0,0,0.06932409107685089,9.0,0,0,300€,2%,1
n26,2023-08-01,9104.383956197371,1500,8000000000,0,11,0,0,0.06932409107685089,3.0,1,0,300€,2%,1
n26,2023-08-01,9104.383956197371,1500,8000000000,0,11,0,0,0.06932409107685089,10.0,0,1,300€,2%,1
n26,2023-09-01,6403.965627919878,1500,8000000000,0,11,0,0,0.05336426943540573,10.0,0,0,300€,2%,0
n26,2023-09-01,6403.965627919878,1500,8000000000,0,11,0,0,0.05336426943540573,10.0,1,0,300€,2%,0
n26,2023-09-01,6403.965627919878,1500,8000000000,0,11,0,0,0.05336426943540573,10.0,0,1,300€,2%,0
n26,2023-09-01,7935.475920146254,1500,8000000000,0,11,0,0,0.05336426943540573,10.0,0,0,300€,2%,0
n26,2023-09-01,7935.475920146254,1500,8000000000,0,11,0,0,0.05336426943540573,10.0,1,0,300€,2%,0
n26,2023-09-01,7935.475920146254,1500,8000000000,0,11,0,0,0.05336426943540573,10.0,0,1,300€,2%,0
n26,2023-10-01,6319.372965945205,1500,8000000000,0,11,0,0,0.0589473694562912,10.0,0,0,300€,2%,5
n26,2023-10-01,6319.372965945205,1500,8000000000,0,11,0,0,0.0589473694562912,10.0,1,0,300€,2%,5
n26,2023-10-01,6319.372965945205,1500,8000000000,0,11,0,0,0.0589473694562912,10.0,0,1,300€,2%,5
n26,2023-10-01,8796.029983827872,1500,8000000000,0,11,0,0,0.0589473694562912,10.0,0,0,300€,2%,5
n26,2023-10-01,8796.029983827872,1500,8000000000,0,11,0,0,0.0589473694562912,10.0,1,0,300€,2%,5
n26,2023-10-01,8796.029983827872,1500,8000000000,0,11,0,0,0.0589473694562912,10.0,0,1,300€,2%,5
n26,2023-11-01,5037.106188622178,1500,8000000000,0,11,0,0,0.0760233923792839,9.0,0,0,300€,2%,2
n26,2023-11-01,5037.106188622178,1500,8000000000,0,11,0,0,0.0760233923792839,6.0,1,0,300€,2%,2
n26,2023-11-01,5037.106188622178,1500,8000000000,0,11,0,0,0.0760233923792839,6.0,0,1,300€,2%,2
n26,2023-11-01,9529.609109058978,1500,8000000000,0,11,0,0,0.0760233923792839,9.0,0,0,300€,2%,2
n26,2023-11-01,9529.609109058978,1500,8000000000,0,11,0,0,0.0760233923792839,6.0,1,0,300€,2%,2
n26,2023-11-01,9529.609109058978,1500,8000000000,0,11,0,0,0.0760233923792839,6.0,0,1,300€,2%,2
n26,2023-12-01,6233.761119561585,1500,8000000000,0,11,0,0,0.092261902987957,9.0,0,0,300€,2%,1
n26,2023-12-01,6233.761119561585,1500,8000000000,0,11,0,0,0.092261902987957,6.0,1,0,300€,2%,1
n26,2023-12-01,6233.761119561585,1500,8000000000,0,11,0,0,0.092261902987957,6.0,0,1,300€,2%,1
n26,2023-12-01,12034.247890228125,1500,8000000000,0,11,0,0,0.092261902987957,9.0,0,0,300€,2%,1
n26,2023-12-01,12034.247890228125,1500,8000000000,0,11,0,0,0.092261902987957,6.0,1,0,300€,2%,1
n26,2023-12-01,12034.247890228125,1500,8000000000,0,11,0,0,0.092261902987957,6.0,0,1,300€,2%,1
