bank,date,web_traffic,cross_visitation,search_interest,rank,incentive,apr,mentions,app_installs,ppc_spend
revolut,2023-12-01,8700.515519822618,0.09968847036361694,7.0,7.580645161290323,0.0,0.0,2.0,96857.04832724229,30311.750577626066
openbank,2021-12-01,17602.8698125209,0.1282798796892166,4.25,4.0,0.0,0.0,5.0,49919.82034368855,21962.397846984863
openbank,2022-01-01,17602.8698125209,0.12762238085269928,5.2,4.0,0.0,0.0,2.0,48647.434439288496,32750.639361247784
openbank,2022-02-01,17602.8698125209,0.11739864945411682,4.5,4.0,0.0,0.0,4.0,28521.997901497445,31578.191541546
openbank,2022-03-01,17602.8698125209,0.107581228017807,4.5,4.0,0.0,0.0,5.0,49919.82034368855,21962.397846984863
openbank,2022-04-01,17602.8698125209,0.1042523980140686,4.5,4.0,0.0,0.0,0.0,8203.981908343214,47152.37630499053
openbank,2022-05-01,13792.995480983114,0.11492536962032318,4.6,4.333333333333333,0.0,0.0,5.0,19055.172023972365,58025.192086734896
openbank,2022-06-01,20353.620333629624,0.10400616377592087,4.5,4.333333333333333,0.0,0.0,0.0,19470.018276513583,55257.233988534055
openbank,2022-07-01,19534.89098998283,0.11993416398763657,4.8,4.0,0.0,0.0,1.0,17927.362138627337,63700.31733666479
openbank,2022-08-01,20023.208162521514,0.11332634091377258,4.0,3.0,0.0,0.0,4.0,17313.617682480966,57144.756767744184
openbank,2022-09-01,20023.208162521514,0.09742790460586548,4.5,4.333333333333333,0.0,0.0,1.0,19506.749782746945,58592.04364564666
openbank,2022-10-01,9169.36311669034,0.095563143491745,4.6,4.333333333333333,0.0,0.0,4.0,18315.52050098621,31569.080439953435
openbank,2022-11-01,11530.562132413075,0.10619468986988068,4.25,4.333333333333333,0.0,0.0,4.0,17600.96925512374,44745.17961758061
openbank,2022-12-01,28515.85419262995,0.11189515888690948,4.25,3.6666666666666665,0.0,0.0,4.0,17839.33768797849,40148.699959966136
openbank,2023-01-01,24494.214875132067,0.11426255851984024,5.0,5.666666666666667,0.0,0.0,2.0,17450.004611650944,46845.29607084328
openbank,2023-02-01,6808.164100967604,0.10843373835086823,5.25,4.333333333333333,0.0,0.0,4.0,16393.19325452282,53861.95055844706
openbank,2023-03-01,22470.826102761795,0.12189202010631561,4.75,4.666666666666667,0.0,0.0,9.0,17390.564324743253,55649.10953997759
openbank,2023-04-01,16055.428829553155,0.11354420334100723,5.0,4.666666666666667,0.0,0.0,1.0,18657.5350193219,46932.832500165896
openbank,2023-05-01,20648.96254158443,0.1494923233985901,4.5,4.666666666666667,0.0,0.0,3.0,17403.643590252803,47614.59405321419
openbank,2023-06-01,17035.047467547898,0.11706512421369553,5.0,4.666666666666667,0.0,0.0,3.0,16275.592796747065,83027.98350472582
openbank,2023-07-01,19151.87148367556,0.13167938590049744,4.8,2.0,0.0,0.0,4.0,15813.371466558156,116551.69470975432
openbank,2023-08-01,11585.968429359173,0.14761905372142792,4.0,1.5,0.0,0.0,2.0,15274.571189223398,61949.543752384416
openbank,2023-09-01,8604.217514977208,0.13172252476215363,4.5,1.5,0.0,0.0,3.0,17038.231842706955,66894.92473253625
openbank,2023-10-01,11373.377131753588,0.10647181421518326,4.4,1.5,0.0,0.0,5.0,19229.684379073737,87383.7333267161
openbank,2023-11-01,10553.927787335704,0.12666666507720947,3.5,1.8529411764705883,0.0,0.0,4.0,12728.229559718777,92926.13432300367
openbank,2023-12-01,24651.811837706096,0.13971742987632751,4.2,1.5806451612903225,0.0,0.0,4.0,14572.237309898255,112880.26240076209
myinvestor,2021-12-01,5319.608622705422,0.06832297891378403,7.0,5.0,0.0,0.0,2.0,21063.783046857945,21353.566382922185
myinvestor,2022-01-01,6577.851993048615,0.06711409240961075,7.0,5.0,0.0,0.0,2.0,21063.783046857945,21353.566382922185
myinvestor,2022-02-01,4031.716960163975,0.04973822087049484,7.0,5.0,0.0,0.0,2.0,21063.783046857945,21353.566382922185
myinvestor,2022-03-01,4941.009311037862,0.05906040221452713,7.0,5.0,0.0,0.0,2.0,21063.783046857945,21353.566382922185
myinvestor,2022-04-01,5774.73445521747,0.05010438337922096,7.0,5.0,0.0,0.0,2.0,977.8463775184327,5314.656370605829
myinvestor,2022-05-01,4701.67615195101,0.050264548510313034,32.0,4.0,0.0,0.0,0.0,2542.2433579140193,2052.625110820062
myinvestor,2022-06-01,3743.6978269564174,0.04216867312788963,7.775,4.0,0.0,0.0,1.0,3115.206237503902,1599.4459404517675
myinvestor,2022-07-01,8887.531979881833,0.0494699664413929,56.75,4.0,0.0,0.0,6.0,2438.7171973829572,904.7108966730457
myinvestor,2022-08-01,6295.460706653864,0.05089058354496956,44.875,6.0,0.0,0.0,4.0,2625.7964095427683,494.7922738260805
myinvestor,2022-09-01,6546.830235428043,0.04538087546825409,44.875,6.0,0.0,0.0,4.0,2383.10967233876,1664.645963776358
myinvestor,2022-10-01,7167.531538575914,0.05783132463693619,56.75,6.0,0.0,0.0,6.0,2109.27226763416,3756.9373185354693
myinvestor,2022-11-01,6307.812017711763,0.057245079427957535,4.375,8.0,0.0,0.0,5.0,2278.209822928149,3827.8251547135333
myinvestor,2022-12-01,7304.328761345544,0.07518796622753143,44.875,7.0,0.0,0.0,4.0,2642.2149231870817,2680.353302570572
myinvestor,2023-01-01,8734.948773057473,0.0517241396009922,7.0,8.0,0.0,0.0,2.0,3409.4551090051978,2047.8199694607256
myinvestor,2023-02-01,19912.767403405633,0.06617647409439087,56.75,7.0,0.0,0.0,11.0,4969.834532349376,2123.120656098871
myinvestor,2023-03-01,17370.94663979311,0.040662650018930435,44.875,10.0,0.0,0.0,4.0,5088.181672116009,975.5007478873174
myinvestor,2023-04-01,11503.598498976402,0.05088495463132858,56.75,10.0,0.0,0.0,8.0,4208.802863045492,2844.6717575824305
myinvestor,2023-05-01,8063.71476260001,0.04940711334347725,56.75,10.0,0.0,0.0,7.0,3665.620049470583,6757.009642287456
myinvestor,2023-06-01,11695.0782654102,0.057544756680727005,56.75,10.0,0.0,0.0,7.0,4353.180345290553,8798.013770707254
myinvestor,2023-07-01,9215.53662651582,0.06465516984462738,44.875,10.0,0.0,0.0,4.0,4030.5121761483524,15363.800930405463
myinvestor,2023-08-01,10196.614426445682,0.07939508557319641,7.775,10.0,0.0,0.0,1.0,4368.109792251927,16199.308217036603
myinvestor,2023-09-01,15325.244152409185,0.06410256773233414,44.875,10.0,0.0,0.0,4.0,4762.093597155279,12257.912179615605
myinvestor,2023-10-01,13931.765275155927,0.06941431760787964,7.0,10.0,0.0,0.0,2.0,1158.805799748358,9989.87335605655
myinvestor,2023-11-01,12300.92091394445,0.06535948067903519,4.375,10.0,0.0,0.0,1.0,2354.039896688341,10617.635371274613
myinvestor,2023-12-01,13585.142358994319,0.09615384787321091,7.0,10.0,0.0,0.0,2.0,5088.412849681757,11681.563545206813
bankinter,2021-12-01,8733.56083469671,0.10576923191547394,12.0,1.6666666666666667,0.0,5.0,4.0,28521.997901497445,31578.191541546
bankinter,2022-01-01,11410.593442735666,0.09418604522943497,11.6,1.6666666666666667,0.0,5.0,1.0,43605.699636587604,1506.1100264172692
bankinter,2022-02-01,8891.661052867186,0.08308308571577072,10.75,1.6666666666666667,0.0,5.0,4.0,28521.997901497445,31578.191541546
bankinter,2022-03-01,7446.9251437005205,0.08257638663053513,10.25,1.6666666666666667,0.0,5.0,2.0,48647.434439288496,32750.639361247784
bankinter,2022-04-01,10285.861726329063,0.10299234837293625,10.0,1.6666666666666667,0.0,5.0,2.0,4875.037307006898,9580.504129488996
bankinter,2022-05-01,5975.582249925638,0.09365558624267578,10.8,2.0,0.0,5.0,4.0,9616.980733205857,6109.397797053324
bankinter,2022-06-01,7762.845174982507,0.11358452588319778,11.75,1.3333333333333333,0.0,5.0,1.0,8955.587196078535,9281.160224898027
bankinter,2022-07-01,6762.668090547939,0.08519437909126282,11.4,1.6666666666666667,0.0,5.0,2.0,9769.077845662825,7962.663702916243
